architecture,corruption,severity,corruption_percent,accuracy,retention,acc_clean,r_df,breaking_severity,breaking_percent
resnet18,gaussian_noise,1,20,0.1883008356545961,0.21115102295798843,0.8917827298050139,0.8762142745588006,1,20
resnet18,gaussian_noise,2,40,0.07075208913649025,0.07933781040137436,0.8917827298050139,0.8762142745588006,1,20
resnet18,gaussian_noise,3,60,0.029108635097493035,0.03264094955489614,0.8917827298050139,0.8762142745588006,1,20
resnet18,gaussian_noise,4,80,0.13760445682451253,0.1543026706231454,0.8917827298050139,0.8762142745588006,1,20
resnet18,gaussian_noise,5,100,0.12618384401114205,0.14149617366859282,0.8917827298050139,0.8762142745588006,1,20
resnet18,motion_blur,1,20,0.708217270194986,0.794158987974387,0.8917827298050139,0.4463845072622208,4,80
resnet18,motion_blur,2,40,0.5676880222841225,0.6365766047165391,0.8917827298050139,0.4463845072622208,4,80
resnet18,motion_blur,3,60,0.4637883008356546,0.5200687177885366,0.8917827298050139,0.4463845072622208,4,80
resnet18,motion_blur,4,80,0.3991643454038997,0.4476026862408246,0.8917827298050139,0.4463845072622208,4,80
resnet18,motion_blur,5,100,0.32966573816155986,0.36967046696860845,0.8917827298050139,0.4463845072622208,4,80
resnet18,jpeg_compression,1,20,0.5055710306406686,0.5669217554271435,0.8917827298050139,0.5964079337810402,3,60
resnet18,jpeg_compression,2,40,0.45,0.5046072153677964,0.8917827298050139,0.5964079337810402,3,60
resnet18,jpeg_compression,3,60,0.37910863509749304,0.4251132281742933,0.8917827298050139,0.5964079337810402,3,60
resnet18,jpeg_compression,4,80,0.278133704735376,0.31188505388099325,0.8917827298050139,0.5964079337810402,3,60
resnet18,jpeg_compression,5,100,0.18676880222841225,0.20943307824457283,0.8917827298050139,0.5964079337810402,3,60
mobilenet_v3_small,gaussian_noise,1,20,0.199025069637883,0.23311582381729198,0.8537604456824512,0.8647960848287113,1,20
mobilenet_v3_small,gaussian_noise,2,40,0.09651810584958218,0.11305057096247961,0.8537604456824512,0.8647960848287113,1,20
mobilenet_v3_small,gaussian_noise,3,60,0.042200557103064064,0.04942903752039152,0.8537604456824512,0.8647960848287113,1,20
mobilenet_v3_small,gaussian_noise,4,80,0.11559888579387187,0.13539967373572595,0.8537604456824512,0.8647960848287113,1,20
mobilenet_v3_small,gaussian_noise,5,100,0.12381615598885794,0.14502446982055464,0.8537604456824512,0.8647960848287113,1,20
mobilenet_v3_small,motion_blur,1,20,0.40445682451253484,0.47373572593800983,0.8537604456824512,0.6159216965742251,1,20
mobilenet_v3_small,motion_blur,2,40,0.33997214484679666,0.39820554649265905,0.8537604456824512,0.6159216965742251,1,20
mobilenet_v3_small,motion_blur,3,60,0.3137883008356546,0.367536704730832,0.8537604456824512,0.6159216965742251,1,20
mobilenet_v3_small,motion_blur,4,80,0.2962395543175487,0.34698205546492655,0.8537604456824512,0.6159216965742251,1,20
mobilenet_v3_small,motion_blur,5,100,0.2850974930362117,0.333931484502447,0.8537604456824512,0.6159216965742251,1,20
mobilenet_v3_small,jpeg_compression,1,20,0.44303621169916435,0.5189233278955955,0.8537604456824512,0.6401305057096248,2,40
mobilenet_v3_small,jpeg_compression,2,40,0.34860724233983287,0.40831973898858076,0.8537604456824512,0.6401305057096248,2,40
mobilenet_v3_small,jpeg_compression,3,60,0.29094707520891366,0.3407830342577488,0.8537604456824512,0.6401305057096248,2,40
mobilenet_v3_small,jpeg_compression,4,80,0.25807799442896934,0.30228384991843393,0.8537604456824512,0.6401305057096248,2,40
mobilenet_v3_small,jpeg_compression,5,100,0.1955431754874652,0.22903752039151715,0.8537604456824512,0.6401305057096248,2,40
vit_tiny,gaussian_noise,1,20,0.3392757660167131,0.3918918918918919,0.8657381615598886,0.7562741312741312,1,20
vit_tiny,gaussian_noise,2,40,0.21364902506963787,0.24678249678249678,0.8657381615598886,0.7562741312741312,1,20
vit_tiny,gaussian_noise,3,60,0.19220055710306408,0.222007722007722,0.8657381615598886,0.7562741312741312,1,20
vit_tiny,gaussian_noise,4,80,0.1690807799442897,0.19530244530244528,0.8657381615598886,0.7562741312741312,1,20
vit_tiny,gaussian_noise,5,100,0.14080779944289692,0.16264478764478763,0.8657381615598886,0.7562741312741312,1,20
vit_tiny,motion_blur,1,20,0.688857938718663,0.7956885456885457,0.8657381615598886,0.4317245817245817,4,80
vit_tiny,motion_blur,2,40,0.5644846796657381,0.652027027027027,0.8657381615598886,0.4317245817245817,4,80
vit_tiny,motion_blur,3,60,0.44206128133704736,0.5106177606177607,0.8657381615598886,0.4317245817245817,4,80
vit_tiny,motion_blur,4,80,0.39498607242339834,0.45624195624195624,0.8657381615598886,0.4317245817245817,4,80
vit_tiny,motion_blur,5,100,0.36949860724233985,0.42680180180180183,0.8657381615598886,0.4317245817245817,4,80
vit_tiny,jpeg_compression,1,20,0.5504178272980501,0.6357786357786357,0.8657381615598886,0.49707207207207205,3,60
vit_tiny,jpeg_compression,2,40,0.4809192200557103,0.5555019305019305,0.8657381615598886,0.49707207207207205,3,60
vit_tiny,jpeg_compression,3,60,0.4228412256267409,0.4884169884169884,0.8657381615598886,0.49707207207207205,3,60
vit_tiny,jpeg_compression,4,80,0.34331476323119775,0.39655727155727155,0.8657381615598886,0.49707207207207205,3,60
vit_tiny,jpeg_compression,5,100,0.37952646239554316,0.4383848133848134,0.8657381615598886,0.49707207207207205,3,60
